,born,year,meter,lang,X,Y
36257,1860.0,1880.0,I4,cs,2.1370335,2.8589733
37625,1868.0,1894.0,I4,cs,3.8489542,4.386479
56931,1853.0,1876.0,I4,cs,2.138489,3.7482512
52218,1877.0,1902.0,I4,cs,4.2559195,4.215462
26506,1877.0,1900.0,I4,cs,4.1475058,4.202531
60201,1861.0,1883.0,I4,cs,2.1425772,4.1113915
40023,1864.0,1927.0,I4,cs,1.8609215,4.085751
50459,1845.0,1897.0,I4,cs,2.118594,3.607648
62053,1873.0,1907.0,I4,cs,1.9941566,3.5896542
33263,1859.0,1930.0,I4,cs,2.1454694,2.8622296
26334,1877.0,1927.0,I4,cs,2.7070246,2.99669
27092,1877.0,1928.0,I4,cs,4.0258303,4.117745
41169,1864.0,1904.0,I4,cs,2.1952868,3.5681744
53663,1853.0,1900.0,I4,cs,2.2027555,3.62987
50565,1864.0,1921.0,I4,cs,2.3652391,3.3453965
41760,1864.0,1905.0,I4,cs,2.0971713,3.9350333
38526,1877.0,1908.0,I4,cs,2.1976624,2.7017288
42211,1864.0,1931.0,I4,cs,4.0548553,4.323969
67539,1873.0,1938.0,I4,cs,2.029184,3.8076909
51152,1864.0,1930.0,I4,cs,2.2547843,3.6912236
62181,1883.0,1912.0,I4,cs,3.7058547,3.4862592
60206,1861.0,1883.0,I4,cs,2.3439627,4.069811
45587,1850.0,1870.0,I4,cs,2.435044,2.6819518
62535,1869.0,1901.0,I4,cs,3.902773,4.364477
49473,1845.0,1909.0,I4,cs,2.2968867,3.9455667
24233,1873.0,1932.0,I4,cs,2.5088067,2.8901017
38875,1862.0,1911.0,I4,cs,2.5545988,3.9269745
51150,1864.0,1930.0,I4,cs,2.3392074,3.0410237
62218,1883.0,1904.0,I4,cs,2.5985553,3.3426073
25399,1871.0,1895.0,I4,cs,2.477544,2.8099232
29496,1835.0,1901.0,I4,cs,2.1558979,4.072503
27011,1877.0,1924.0,I4,cs,4.025359,2.8323565
63905,1885.0,1909.0,I4,cs,2.4368281,3.6280308
66980,1873.0,1902.0,I4,cs,2.126419,4.275808
45560,1847.0,1870.0,I4,cs,2.1028986,3.4528866
63393,1883.0,1937.0,I4,cs,2.2155585,3.554887
31170,1874.0,1897.0,I4,cs,2.7151635,4.187139
48062,1853.0,1883.0,I4,cs,2.2968178,2.72487
39969,1864.0,1915.0,I4,cs,1.8981888,3.628634
36762,1847.0,1871.0,I4,cs,2.3393188,2.6925395
66673,1883.0,1906.0,I4,cs,2.0997248,2.822156
38748,1877.0,1930.0,I4,cs,2.2466698,2.7354386
40331,1864.0,1891.0,I4,cs,1.8945355,3.7543573
38666,1877.0,1901.0,I4,cs,2.0926185,4.272653
27141,1855.0,1874.0,I4,cs,2.3432899,2.9142895
57887,1853.0,1888.0,I4,cs,2.3286562,3.7718666
25105,1836.0,1875.0,I4,cs,3.6178448,3.129922
48562,1861.0,1923.0,I4,cs,1.9565134,3.671254
38186,1877.0,1899.0,I4,cs,2.370805,2.9826128
41831,1864.0,1928.0,I4,cs,2.6448967,3.8692768
38501,1877.0,1908.0,I4,cs,2.2247372,2.6302042
27947,1815.0,1841.0,I4,cs,4.5706353,4.368153
56607,1853.0,1899.0,I4,cs,2.1902344,3.6463997
48577,1861.0,1923.0,I4,cs,2.1196163,3.6916745
64692,,1900.0,I4,cs,2.0974245,4.0139704
49713,1845.0,1891.0,I4,cs,2.3148603,2.8155468
57731,1853.0,1897.0,I4,cs,2.552099,3.7693603
54381,1853.0,1880.0,I4,cs,1.9743402,3.6427903
32520,1855.0,1929.0,I4,cs,3.4991243,2.677144
25776,1858.0,1933.0,I4,cs,2.3376691,3.5925934
23918,1833.0,1958.0,I4,cs,2.2797256,3.0983877
54632,1853.0,1897.0,I4,cs,2.547469,3.9632454
30570,1835.0,1902.0,I4,cs,2.0430462,3.9129214
63068,1875.0,1904.0,I4,cs,1.966109,3.7807605
39361,1864.0,1934.0,I4,cs,2.033912,3.4255526
26363,1877.0,1930.0,I4,cs,2.0172231,3.6350234
41620,1864.0,1935.0,I4,cs,2.2054677,3.5309951
48554,1861.0,1923.0,I4,cs,2.1794422,3.6666255
50824,1864.0,1891.0,I4,cs,2.026522,3.8616521
62313,1889.0,1911.0,I4,cs,3.46749,3.6615689
66554,1867.0,1910.0,I4,cs,2.2690322,2.671461
54021,1853.0,1889.0,I4,cs,2.3745048,2.8028047
66230,1870.0,1944.0,I4,cs,3.611419,3.0128157
48068,1853.0,1883.0,I4,cs,3.0308166,2.7669623
24915,1826.0,1864.0,I4,cs,3.9526663,2.9193854
63362,1883.0,1941.0,I4,cs,2.9882748,4.443177
30583,1835.0,1902.0,I4,cs,2.0175033,3.8838747
49317,1813.0,1911.0,I4,cs,2.8190374,3.640045
26530,1877.0,1921.0,I4,cs,2.0455635,3.5383232
57313,1853.0,1905.0,I4,cs,2.0941737,3.3191783
66101,1884.0,1900.0,I4,cs,1.9725068,3.8953617
63302,1883.0,1947.0,I4,cs,2.3881726,3.384079
49497,1845.0,1909.0,I4,cs,2.0248911,3.7224426
39198,1864.0,1889.0,I4,cs,2.1309445,3.6137667
43276,1859.0,1882.0,I4,cs,1.9498833,3.8363926
46068,1875.0,1923.0,I4,cs,2.2712452,3.511084
42175,1864.0,1915.0,I4,cs,2.4180138,3.6753902
65298,1878.0,1906.0,I4,cs,2.0346615,3.8899806
36263,1860.0,1884.0,I4_3,cs,3.2749102,3.5456827
31134,1874.0,1908.0,I4_3,cs,3.423322,3.4554195
64537,1876.0,1912.0,I4_3,cs,3.0744743,3.5416028
42843,1846.0,1882.0,I4_3,cs,3.2196076,3.9359548
47901,1842.0,1891.0,I4_3,cs,3.4825132,4.192479
59513,1846.0,1913.0,I4_3,cs,3.7482638,3.7482593
63205,1874.0,1908.0,I4_3,cs,3.68837,3.756487
35716,1793.0,1832.0,I4_3,cs,3.218846,3.7033877
29458,1835.0,1885.0,I4_3,cs,3.4980328,4.019333
35511,1793.0,1832.0,I4_3,cs,3.3607183,3.5370653
59018,1840.0,1882.0,I4_3,cs,3.272668,3.7422507
