canonical_title,author,work,metre,book,number,title,lines,metronome
Satires 12,Juvenal,Satires,hexameter,,12,,130,SSS.SSw.wS.ww.Sww.S.S.|S.SS.SSw.wS.wwSww.SS.|SSS.wwS.SSS.Sww.SS.|S.SS.wwS.SSS.Sww.SS.|S.ww.SSS.wwS.ww.Sww.SS.|SSS.SSw.wS.SSw.wSS.|Sw.wS.wwS.SS.SSw.w.SS.|SSSw.wS.S.S.ww.Sww.SS.|Sww.S.SS.SSS.Sww.SS.|S.S.Sw.wS.wwS.SSww.SS.|Sww.SSS.wwSS.Sw.w.SS.|Sw.wS.S.SwwS.SSw.w.SS.|Sw.w.SSS.SSS.Sww.SS.|S.SS.SS.SS.wwSw.wSS.|S.wwS.wwSw.wS.SSww.SS.|Sw.w.SwwS.SS.SSw.wSS.|S.SS.wwS.SS.S.Sww.SS.|SSS.SS.S.SSSw.wSS.|S.SS.wwS.SSS.Sww.SS.|S.S.S.SS.SSS.Sww.S.S.|SwwS.SS.SSS.Sw.wSS.|SwwS.SS.SSww.Sww.SS.|Sww.S.wwS.S.Sw.wSww.SS.|SSS.ww.S.wwS.SSww.SS.|S.wwS.wwS.SS.S.Sww.SS.|SSS.S.Sw.wS.S.Sww.SS.|S.S.SSS.SSS.Sw.wSS.|Sww.SSS.S.Sw.w.Sww.SS.|Sww.S.SS.wwS.SSw.wSS.|S.SS.SS.wwS.ww.Sww.S.S.|SSS.SS.ww.SSSww.SS.|Sww.SSS.SS.SSww.SS.|SSS.S.Sw.wS.SSww.SS.|SS.S.SS.wwSS.Sww.S.S.|SS.Sw.wS.wwS.SSww.SS.|SwwS.wwS.wwS.SSww.SS.|Sww.S.ww.S.SSS.Sw.wSS.|SwwSw.wS.wwS.SSww.SS.|SwwS.wwS.ww.SSSww.SS.|S.wwS.SS.wwSS.Sww.SS.|SSS.SSw.wS.w.w.SwwS.S.|Sww.SSS.S.Sww.Sww.SS.|Sw.w.SSS.wwSS.Sww.SS.|SwwS.SS.SS.SSw.wSS.|S.SS.wwSw.wS.S.Sww.SS.|S.S.SSS.S.S.SSww.SS.|SSS.wwS.S.Sww.Sw.wSS.|S.S.S.wwS.S.SS.Sw.w.SS.|SSS.SSw.wS.SSw.wSS.|S.SS.SS.wwS.wwSww.SS.|S.wwS.SS.SS.wwSww.SS.|SSS.S.SwwS.S.Sww.S.S.|Sw.wS.S.SSS.SSww.SS.|Sww.S.SS.SS.SSww.S.S.|Sww.SSS.SSww.Sww.SS.|Sww.SwwS.SS.SSw.wSS.|S.S.S.SS.wwS.SSw.wSS.|SSS.SS.wwS.S.Sw.wSS.|Sww.S.SS.S.S.SSww.SS.|S.S.SwwS.S.S.S.Sw.wSS.|Sww.SSS.S.SSSw.wSS.|S.SS.wwS.SS.ww.Sww.SS.|Sww.SSS.SSw.wSww.SS.|S.wwS.SS.SS.wwSw.wSS.|Sw.wS.SS.wwS.S.Sww.SS.|SwwS.wwS.S.SS.Sww.SS.|Sw.wS.wwS.wwSww.Sw.wSS.|Sww.SSS.S.S.wwSww.SS.|SS.Sw.wS.S.SwwSww.SS.|S.SS.S.Sw.wS.S.Sw.wSS.|Sw.wSSS.SS.SSw.wSS.|SwwS.SSw.wS.S.Sww.SS.|Sw.wS.SS.wwS.SSww.SS.|S.SS.SS.SSS.Sw.wSS.|S.SS.wwS.SSw.w.Sww.SS.|SSSw.wS.SSww.Sww.SS.|S.ww.SSS.wwS.SSw.wSS.|SwwS.S.S.wwS.SSww.SS.|S.SSw.wS.S.SS.Sw.wSS.|SwwSw.wS.wwSS.Sww.SS.|SS.Sw.wS.SS.ww.Sww.SS.|Sww.SSS.SSw.wSww.SS.|S.wwS.wwS.SS.wwSw.wSS.|Sww.SSS.S.S.SSww.SS.|S.SS.SSw.wS.SSw.wSS.|S.ww.S.SS.S.SS.Sw.wSS.|Sw.wS.wwS.wwS.ww.Sw.wSS.|SwwS.wwS.wwSw.wSww.SS.|S.SS.SSw.wS.wwSw.wSS.|Sw.w.S.SS.wwS.SSw.wSS.|Sw.wS.SS.SSS.Sww.SS.|S.SSSS.wwSS.Sw.wSS.|S.SSw.wS.S.S.SSw.wSS.|S.SS.wwS.S.S.SSww.SS.|S.ww.SSS.ww.SSSw.w.SS.|S.SS.wwS.SS.SSw.wSS.|S.wwS.S.S.ww.S.SSw.wSS.|S.SS.S.Sw.wS.SSw.wSS.|S.SS.wwS.SS.S.Sww.SS.|SwwS.SS.SSS.Sw.wSS.|Sww.SSS.S.SSS.wwSS.|Sww.S.S.S.S.SSS.wwSS.|S.ww.S.SS.S.SS.Sww.SS.|Sww.SwwS.S.SS.Sw.wSS.|SwwS.wwS.S.SS.Sww.SS.|Sww.SSS.SS.SSw.wSS.|SSS.wwS.wwS.SSw.wSS.|Sww.S.SS.wwS.SSw.wSS.|SS.SSS.S.SS.Sw.wSS.|S.wwS.SS.w.wS.S.Sww.SS.|S.wwS.ww.S.wwS.ww.Sw.w.SS.|SwwS.S.Sw.wS.SSw.w.SS.|S.ww.Sw.wS.SSS.Sww.SS.|SS.Sw.wS.S.SSSww.SS.|Sw.wS.S.SSS.SSw.wSS.|S.ww.SSS.S.S.SSww.SS.|Sww.S.wwS.S.Sww.SSSS.|SSS.SS.S.S..S.Sww.SS.|SwwSw.wS.ww.S.SSww.SS.|S.SS.wwS.SSw.wSww.SS.|Sw.wS.SS.S.Sww.SSSS.|Sw.wS.S.S.wwS.SSww.SS.|SSS.wwS.SSS.Sww.SS.|S.wwS.SS.SS.S.Sww.SS.|SS.SwwS.wwS.ww.Sw.wSS.|SSS.SS.SSww.Sw.wS.S.|S.wwS.wwS.wwS.wwSw.wSS.|SS.SwwS.SS.S.Sww.SS.|SwwS.SS.wwS.ww.Sww.SS.|SSS.w.wS.SS.w.wSw.w.SS.|
Eclogues 3,Vergil,Eclogues,hexameter,3,,,111,S.ww.SSS.SS.ww.S.wwSS.|S.S.SSS.SS.ww.Sww.SS.|SSS.S.Sw.wS.ww.Sw.wSS.|S.ww.S.S.S.ww.Sww.Sw.wSS.|S.wwSw.wS.SS.S.Sw.w.SS.|S.SS.wwS.S.S.SSww.SS.|Sww.Sw.wS.ww.SwwSw.wSS.|Sww.S.S.S.SSw.wSww.SS.|S.S.S.wwS.SS.SSw.wSS.|S.SS.S..SSS.SSw.wSS.|Sw.wS.SS.SSww.Sw.wSS.|S.S.S.wwS.SS.S.Sww.SS.|SS.S.wwS.S.S.SSw.wSS.|S.S.SSS.wwS.SSw.wSS.|S.S.S.wwS.wwSS.Sww.SS.|S.wwS.wwS.SS.S.Sww.SS.|S.ww.S.SS.SSS.Sww.SS.|Sww.SwwS.SS.SSw.wSS.|S.S.SSS.S.S.S.Sww.SS.|Sww.Sw.wS.S.S.SSw.wSS.|S.ww.SSS.SS.S.Sww.SS.|S.ww.SwwS.wwSS.Sww.SS.|S.SS.ww.Sw.wS.ww.S.ww.SS.|Sw.wSSS.S.Sww.Sw.wSS.|SSS..S.S.SS.ww.Sww.SS.|Sw.wS.S..S.wwS.SSw.wSS.|SSS.wwS.wwS.SSww.SS.|S.S.SS.S.S.Sw.wSw.wSS.|SwwSw.w.S.wwS.S.Sw.wSS.|S.ww.S.SS.SS.ww.Sww.SS.|SSS.S.S.SS.S.Sww.SS.|S.ww.S.SS.SS.SSww.SS.|S.ww.Sw.wS.ww.S.SSw.wSS.|Sw.wS.wwS.SS.ww.Sw.w.SS.|S.S.S.SS.S.Sw.wSww.SS.|SSSw.wS.wwS.ww.Sww.SS.|Sww.SSS.SS.ww.SwwSS.|Sw.wS.SS.wwS.wwSww.SS.|SSS.wwS.SS.SSw.wSS.|S.wwS.ww.Sw.wS.S.S.ww.SS.|SSS.wwS.SS.S.Sww.SS.|Sww.S.SS.S.Sw.wSw.wSS.|S.SS.S.SSS.S.Sww.SS.|S.SS.S.SwwS.ww.Sww.SS.|S.SS.S.S.SS.SSw.wSS.|Sww.S.wwS.wwS.SSw.wSS.|S.SS.S.SSS.S.Sww.SS.|.S.wwS.SS.ww.S.S.Sww.SS.|S.ww.SwwS.wwS.SSw.wSS.|Sww.S.SS.S.S.ww.Sw.wSS.|SwwS.SS.S.SS.Sw.wSS.|S.ww.S.w.wS.S.S.ww.S.ww.SS.|S.SS.wwS.SS.SSw.wSS.|Sww.S.SS.S.S.S.Sw.wSS.|Sww.Sww.S.SS.SSww.SS.|S.S.Sw.wS.S.SS.Sww.SS.|S.SS.SS.S.SSSww.SS.|Sww.SSS.S.Sw.wSw.wSS.|SSS.SSw.wS.SSw.wSS.|S.ww.SwwS.SS.ww.Sww.SS.|Sw.wS.SS.SS.ww.Sww.SS.|S.S.Sw.wS.SS.ww.Sw.wS.S.|Sww.S.SS.S.Sw.wS.wwSS.|SS.S.wwSw.wS.SSw.wSS.|S.ww.S.wwS.S.S.ww.Sw.wSS.|S.ww.S.SS.SS.ww.Sw.wSS.|Sww.S.S.S.wwS.S.Sww.SS.|Sw.wS.wwS.S.Sww.Sw.wSS.|Sw.w.SwwS.S.SSSw.wSS.|S.wwS.wwS.SS.S.Sww.SS.|Sww.Sw.wS.SS.S.Sww.SS.|S.wwS.S.S.SS.wwSw.wS.S.|S.wwS.SS.SS.wwSw.w.SS.|S.SS.S..S.wwS.S.Sw.wSS.|S.S.S.SSw.wS.ww.Sww.SS.|Sww.Sw.wS.ww.S.SSS.SS.|S.wwS.wwS.S.Sww.Sw.wSS.|Sw.w.S.wwS.S.S.SSww.SS.|S.SS.SSw.wS.ww.Sw.wSS.|Sw.wS.wwS.SSS.Sww.SS.|SwwS.SS.SS.wwSww.SS.|Sw.wS.SS.SSS.Sww.SS.|Sw.wS.SS.wwS.ww.Sw.wSS.|Sw.wS.SS.SS.S.Sww.SS.|SwwS.wwS.SSS.Sww.SS.|Sw.w.Sw.wS.ww.Sww.Sww.SS.|S.SS.ww.S.wwS.S.Sw.wSS.|S.S.Sw.wS.wwS.S.S.ww.SS.|Sw.wS.SS.ww.S.ww.Sw.wSS.|S.wwS.S.Sw.wS.ww.Sww.SS.|S.SS.SS.SS.S.Sww.SS.|S.wwS.SS.w.wS.SSww.SS.|Sww.S.wwS.ww.S.ww.Sw.w.SS.|Sw.wS.wwS.SSww.S.ww.SS.|Sww.S.wwS.wwS.S.Sww.SS.|Sww.SSS.S.Sww.Sw.wSS.|S.ww.Sw.wS.SS.S.Sw.wSS.|Sw.wS.wwS.S.S.SSww.SS.|S.SS.SS.SSww.Sww.SS.|S.S.S.SS.ww.S.ww.Sw.w.SS.|S.ww.SwwS.wwS.wwSw.wSS.|S.SS.w.wS.S.S.S.Sww.SS.|Sww.S.wwS.wwS.ww.Sww.SS.|S.ww.S.SS.w.wS.ww.Sw.wSS.|S.wwS.SS.wwS.S.Sww.SS.|S.ww.S.SS.SSS.Sww.SS.|SSS.SS.S.Sww.Sw.wSS.|S.S.SS.S.SS.SSww.SS.|S.wwS.S.Sw.w.S.S.Sw.wSS.|S.wwS.SS.S.SwwSw.wSS.|Sww.S.SS.wwS.S.Sw.wSS.|
